,year,num_parts
0,1970,471
1,1978,12
2,1987,2
3,1979,12
4,1979,12
5,1979,12
6,1979,18
7,1978,15
8,1976,147
9,1976,149
10,1976,126
11,1965,35
12,1985,3
13,1976,3
14,1965,57
15,1968,77
16,1968,145
17,1968,110
18,1999,70
19,1968,177
20,1968,225
21,1968,256
22,1968,407
23,1967,710
24,1969,615
25,2001,256
26,2001,785
27,2001,272
28,2001,100
29,2001,100
30,2001,50
31,2001,50
32,2001,25
33,2001,50
34,2001,62
35,1966,16
36,2003,63
37,2001,42
38,2001,42
39,2001,121
40,2001,170
41,2001,194
42,2001,128
43,2001,228
44,2001,1868
45,2001,1747
46,1966,27
47,2002,427
48,2002,433
49,2003,974
50,2002,410
51,2002,112
52,2002,669
53,2002,325
54,2002,187
55,2003,670
56,2003,468
57,2002,3115
58,2002,150
59,2002,194
60,2002,431
61,2002,914
62,2003,639
63,2003,35
64,2002,1
65,2002,44
66,2002,13
67,2002,100
68,2002,36
69,2002,61
70,2002,31
71,2002,34
72,2002,50
73,2003,44
74,2003,68
75,2003,50
76,2002,56
77,2002,56
78,2002,56
79,2002,56
80,2002,56
81,2002,84
82,2002,84
83,2002,84
84,2002,84
85,2002,84
86,2002,41
87,2002,53
88,2002,39
89,2002,33
90,2002,26
91,2003,25
92,2003,56
93,2003,130
94,2003,68
95,2002,25
96,2002,38
97,2003,55
98,2003,1
99,2003,42
100,2003,33
101,2004,70
102,2004,70
103,2004,70
104,2003,54
105,2006,107
106,1969,1
107,2001,10
108,2001,25
109,2001,5
110,2001,100
111,2001,80
112,2004,50
113,2004,50
114,2004,50
115,2003,16
116,2003,707
117,2003,663
118,2003,56
119,2003,326
120,2003,1456
121,1966,1
122,2004,688
123,2004,693
124,2004,400
125,2004,1487
126,2005,3460
127,2005,1679
128,2004,124
129,2004,62
130,2004,62
131,2004,84
132,2004,42
133,2004,42
134,2004,420
135,2004,982
136,2005,982
137,2006,982
138,2002,3
139,2010,984
140,2004,105
141,2004,134
142,2004,151
143,2004,913
144,2004,913
145,2004,48
146,2004,76
147,2004,48
148,2004,76
149,2004,27
150,2004,31
151,2004,182
152,2005,64
153,2005,60
154,2005,365
155,2006,969
156,2006,1070
157,2006,1211
158,2006,871
159,2006,1196
160,2007,1137
161,2007,5195
162,2007,3428
163,2007,2058
164,2007,1080
165,2008,2017
166,2008,2358
167,2008,1084
168,2008,1625
169,2008,3807
170,2008,5922
171,2007,1250
172,2008,884
173,2008,956
174,2009,1616
175,2009,1089
176,2009,1757
177,2009,3260
178,2009,2236
179,2009,1408
180,2009,815
181,1976,129
182,2008,893
183,2003,3
184,2004,6
185,2004,3
186,2005,3
187,2006,3
188,2002,231
189,1968,24
190,2010,1623
191,2010,2186
192,2010,2502
193,2010,1203
194,2010,29
195,2010,4295
196,2010,675
197,2010,686
198,2011,2031
199,2011,2034
200,2011,1232
201,2011,1333
202,2011,3151
203,2011,821
204,2012,1574
205,2012,2771
206,2012,2130
207,2012,877
208,2012,1484
209,2012,2062
210,2012,1490
211,2012,1358
212,2011,1229
213,2013,2192
214,2013,1349
215,2013,2988
216,2013,1259
217,2013,2023
218,2013,2360
219,2013,1573
220,2014,1515
221,2014,1074
222,2015,1076
223,2014,2469
224,2014,1743
225,2014,882
226,2001,3
227,2015,2261
228,2015,2463
229,2015,1157
230,2015,895
231,2013,244
232,2016,2383
233,2016,1166
234,2016,4166
235,2016,737
236,2017,4009
237,2017,2669
238,2011,1
239,2009,1
240,1999,90
241,1970,64
242,1970,56
243,1977,8
244,1985,189
245,1969,24
246,1983,20
247,1985,278
248,1985,20
249,1985,1534
250,1985,120
251,1986,39
252,1970,1
253,1976,683
254,1985,238
255,2013,44
256,2013,5
257,2013,62
258,2013,83
259,2013,24
260,2013,52
261,2013,134
262,2013,16
263,1984,65
264,2013,40
265,2013,49
266,2013,22
267,2013,37
268,2013,56
269,2013,39
270,2012,29
271,2013,37
272,2013,47
273,1973,150
274,2013,12
275,2014,9
276,2014,12
277,2014,29
278,2014,121
279,2014,39
280,2014,14
281,2014,26
282,2014,16
283,1984,895
284,2012,65
285,2014,39
286,2014,30
287,2014,36
288,1999,211
289,2014,55
290,2014,19
291,2014,40
292,2014,59
293,2014,39
294,2013,9
295,2013,42
296,2013,17
297,2013,15
298,2013,65
299,2013,200
300,2013,31
301,1985,785
302,2013,37
303,2014,135
304,2014,52
305,2014,18
306,2014,16
307,2014,46
308,2014,30
309,2014,65
310,2014,65
311,2014,25
312,2014,23
313,2014,75
314,2014,9
315,2014,135
316,2014,16
317,2014,95
318,2015,13
319,2015,39
320,2015,30
321,2015,102
322,2015,13
323,2015,11
324,2015,51
325,2015,13
326,2015,29
327,2015,19
328,2015,26
329,2015,104
330,2015,38
331,2015,87
332,2015,63
333,2015,24
334,2015,46
335,2015,29
336,1981,30
337,2015,19
338,2015,37
339,2015,17
340,2015,25
341,2015,16
342,2015,39
343,2015,13
344,2015,28
345,1985,59
346,2000,1
347,2015,12
348,2015,25
349,2015,26
350,2015,69
351,1980,158
352,2015,193
353,2015,0
354,1985,169
355,1981,0
356,1985,196
357,2016,1599
358,2013,197
359,2013,88
360,2013,148
361,2013,152
362,2013,157
363,1982,174
364,2013,90
365,2013,607
366,2013,607
367,2013,1599
368,2014,55
369,2014,75
370,2014,159
371,2014,149
372,2014,107
373,1988,251
374,2014,123
375,2014,150
376,2014,349
377,2014,305
378,2014,146
379,2014,479
380,2015,74
381,2015,57
382,2015,99
383,1999,20
384,2014,599
385,2014,1016
386,2015,132
387,2015,132
388,2015,113
389,2015,226
390,2015,137
391,1999,22
392,2015,220
393,2015,302
394,2015,12
395,2015,302
396,2015,579
397,2015,483
398,2015,1499
399,2015,789
400,2015,1
401,2015,1
402,1999,20
403,2015,1
